Simulation Log
==============
Time: 7.47s | Bodies: 1185 | Live Microbes: 0
Time: 7.49s | Bodies: 1185 | Live Microbes: 0
Time: 7.51s | Bodies: 1185 | Live Microbes: 0
Time: 7.53s | Bodies: 1185 | Live Microbes: 0
Time: 7.54s | Bodies: 1185 | Live Microbes: 0
Time: 7.56s | Bodies: 1185 | Live Microbes: 0
Time: 7.58s | Bodies: 1185 | Live Microbes: 0
Time: 7.60s | Bodies: 1185 | Live Microbes: 0
Time: 7.61s | Bodies: 1185 | Live Microbes: 0
Time: 7.63s | Bodies: 1185 | Live Microbes: 0
Time: 7.65s | Bodies: 1185 | Live Microbes: 0
Time: 7.67s | Bodies: 1185 | Live Microbes: 0
Time: 7.68s | Bodies: 1185 | Live Microbes: 0
Time: 7.70s | Bodies: 1185 | Live Microbes: 0
Time: 7.72s | Bodies: 1185 | Live Microbes: 0
Time: 7.74s | Bodies: 1185 | Live Microbes: 0
Time: 7.75s | Bodies: 1185 | Live Microbes: 0
Time: 7.77s | Bodies: 1185 | Live Microbes: 0
Time: 7.79s | Bodies: 1185 | Live Microbes: 0
Time: 7.81s | Bodies: 1185 | Live Microbes: 0
Time: 7.82s | Bodies: 1185 | Live Microbes: 0
Time: 7.84s | Bodies: 1185 | Live Microbes: 0
Time: 7.86s | Bodies: 1185 | Live Microbes: 0
Time: 7.88s | Bodies: 1185 | Live Microbes: 0
Time: 7.90s | Bodies: 1185 | Live Microbes: 0
Time: 7.91s | Bodies: 1185 | Live Microbes: 0
Time: 7.93s | Bodies: 1185 | Live Microbes: 0
Time: 7.95s | Bodies: 1185 | Live Microbes: 0
Time: 7.97s | Bodies: 1185 | Live Microbes: 0
Time: 7.98s | Bodies: 1185 | Live Microbes: 0
Time: 8.00s | Bodies: 1185 | Live Microbes: 0
Time: 8.02s | Bodies: 1185 | Live Microbes: 0
Time: 8.03s | Bodies: 1185 | Live Microbes: 0
Time: 8.05s | Bodies: 1185 | Live Microbes: 0
Time: 8.07s | Bodies: 1185 | Live Microbes: 0
Time: 8.09s | Bodies: 1185 | Live Microbes: 0
Time: 8.11s | Bodies: 1185 | Live Microbes: 0
Time: 8.12s | Bodies: 1185 | Live Microbes: 0
Time: 8.14s | Bodies: 1185 | Live Microbes: 0
Time: 8.16s | Bodies: 1185 | Live Microbes: 0
Time: 8.17s | Bodies: 1185 | Live Microbes: 0
Time: 8.19s | Bodies: 1185 | Live Microbes: 0
Time: 8.21s | Bodies: 1185 | Live Microbes: 0
Time: 8.23s | Bodies: 1185 | Live Microbes: 0
Time: 8.24s | Bodies: 1185 | Live Microbes: 0
Time: 8.26s | Bodies: 1185 | Live Microbes: 0
Time: 8.28s | Bodies: 1185 | Live Microbes: 0
Time: 8.29s | Bodies: 1185 | Live Microbes: 0
Time: 8.31s | Bodies: 1185 | Live Microbes: 0
Time: 8.33s | Bodies: 1185 | Live Microbes: 0
Time: 8.34s | Bodies: 1185 | Live Microbes: 0
Time: 8.36s | Bodies: 1185 | Live Microbes: 0
Time: 8.38s | Bodies: 1185 | Live Microbes: 0
Time: 8.40s | Bodies: 1185 | Live Microbes: 0
Time: 8.41s | Bodies: 1185 | Live Microbes: 0
Time: 8.43s | Bodies: 1185 | Live Microbes: 0
Time: 8.45s | Bodies: 1185 | Live Microbes: 0
Time: 8.47s | Bodies: 1185 | Live Microbes: 0
Time: 8.48s | Bodies: 1185 | Live Microbes: 0
Time: 8.50s | Bodies: 1185 | Live Microbes: 0
Time: 8.52s | Bodies: 1185 | Live Microbes: 0
Time: 8.53s | Bodies: 1185 | Live Microbes: 0
Time: 8.55s | Bodies: 1185 | Live Microbes: 0
Time: 8.57s | Bodies: 1185 | Live Microbes: 0
Time: 8.58s | Bodies: 1185 | Live Microbes: 0
Time: 8.60s | Bodies: 1185 | Live Microbes: 0
Time: 8.62s | Bodies: 1185 | Live Microbes: 0
Time: 8.64s | Bodies: 1185 | Live Microbes: 0
